,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
884,Planeta Woda,Boris Akunin,Świat Książki,Kryminał,Przygody Erasta Fandorina,"4,1","29,90",,"34,90",
885,Pożądanie i śmierć,J. D. Robb,Prószyński i S-ka,Kryminał,In Death | Oblicza śmierci,"5,0","30,40",,"38,00",
886,Dom czwarty,Katarzyna Puzyńska,Prószyński i S-ka,Kryminał,Lipowo,"4,4","30,40","34,90","38,00",22
887,Elementy zbrodni Tom 2 Pójdź na sąd boży,Mariusz Ziomecki,Muza,Kryminał,polski,"0,0",,,"39,90",
888,Pierwsze kłamstwo,Sara Larsson,Czarna Owca,Kryminał,polski,"4,2","34,99",,"39,99",
889,Szepty zmarłych,Simon Beckett,Czarna Owca,Kryminał,Dr David Hunter,"4,4","29,99",,"34,99",48
890,Morderstwa i woń migdałów,Camilla Läckberg,Czarna Owca,Kryminał,polski,"0,0",,,"29,99",
891,Niepokorni,Vincent Severski,Czarna Owca,Kryminał,polski,"0,0",,,"36,99",
892,Cukiereczek,Grzegorz Bartos,RW2010,Kryminał,polski,"3,5","13,58",,"29,90",
893,Upiory,Jo Nesbo,Wydawnictwo Dolnośląskie,Kryminał,Harry Hole,"4,4","27,92","32,00","39,90",30
894,Zabójczy tie-break,Nikodem Pałasz,Muza,Kryminał,Wiktor Wolski,"3,3","31,90",,"39,90",
895,Trzeci policjant,OBrien Flann,Czuły Barbarzyńca Press,Kryminał,polski,"0,0",,,"30,00",
896,Krew na śniegu / Więcej krwi,Jo Nesbo,Dolnośląskie,Kryminał,polski,"0,0",,,"49,00",
897,Otulone ciemnością,Hanna Greń,Replika,Kryminał,polski,"0,0",,,"36,90",
898,Zwierzenia Maigreta,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
899,Po zapadnięciu nocy,Fred Vargas,Sonia Draga,Kryminał,Komisarz Adamsberg,"4,3","31,50",,"38,00",
900,Moskwa nie boi się krwi,Tomasz Turowski,Melanż,Kryminał,polski,"3,7","28,00",,"34,99",
901,Wyższa karta,Marco Malvaldi,Noir Sur Blanc,Kryminał,polski,"0,0",,,"29,00",
902,Lampiony,Katarzyna Bonda,Muza,Kryminał,polski,"0,0",,,"41,90",
903,Nie ma innej ciemności,Hillary Sarah,Czwarta Strona,Kryminał,polski,"0,0",,,"39,90",
904,Nic oprócz milczenia,Magdalena Knedler,Czwarta Strona,Kryminał,Komisarz Anna Lindholm,"4,3","31,90",,"39,90",
905,Gorzka pomarańcza,Nadia Hamid,Bernardinum,"Literatura faktu, reportaże, biografie",polski,"0,0","15,90",,"19,90",
906,Zamknięta trumna,Hannah Sophie,Wydawnictwo Dolnośląskie,Kryminał,Nowe sprawy Herkulesa Poirota,"3,6","32,00",,"39,90",
907,Granat poproszę,Olga Rudnicka,Prószyński i S-ka,Kryminał,polski,"3,8","26,40",,"33,00",
908,Ofiara,Karin Slaughter,HarperCollins,"Sensacja, thriller, horror",Will Trent,"4,5","24,99",,"36,99",
909,Dom wybranych,Bronisław Wildstein,Zysk i S-ka,Kryminał,polski,"5,0","32,00",,"39,90",
910,Rewers,Gaja Grzegorzewska,Czwarta Strona,Kryminał,polski,"3,5","31,90",,"39,90",
911,Najgorsze dopiero nadejdzie,Robert Małecki,Czwarta Strona,Kryminał,Marek Bener,"4,0","29,90","36,90","14,90",21
912,Laleczka,Hollie Overton,Czarna Owca,Obyczajowe i romanse,polski,"4,2","27,99",,"32,99",
